Order ID,Order Date,Ship Date,Customer Segment,Region,State,Category,Sub-Category,Quantity,Sales,Discount,Discounted Sales,Shipping Cost,Profit
ORD-1000,2024-04-04,2024-04-09,Consumer,North,Wisconsin,Office Supplies,Pens & Art,11,6560.67,0.1,5904.6,4.57,825.27
ORD-1001,2022-08-18,2022-08-21,Consumer,North,Wisconsin,Technology,Phones,4,2308.3,0.15,1962.06,19.47,-241.29
ORD-1002,2023-10-09,2023-10-11,Home Office,West,Washington,Furniture,Chairs,3,552.06,0.2,441.65,39.3,-60.37
ORD-1003,2022-04-24,2022-04-28,Consumer,West,Nevada,Furniture,Bookcases,8,3487.51,0.05,3313.13,31.72,255.53
ORD-1004,2022-01-25,2022-01-27,Corporate,Central,Ohio,Office Supplies,Paper,5,3941.99,0.2,3153.59,5.18,-695.34
ORD-1005,2022-06-22,2022-06-28,Corporate,West,Washington,Furniture,Bookcases,5,2829.64,0.15,2405.19,48.45,-158.85
ORD-1006,2023-07-21,2023-07-23,Home Office,South,Florida,Office Supplies,Paper,12,5426.47,0.15,4612.5,5.56,-693.54
ORD-1007,2024-01-23,2024-01-30,Consumer,South,Georgia,Furniture,Tables,6,1091.47,0.45,600.31,41.03,-426.52
ORD-1008,2024-11-09,2024-11-12,Consumer,West,Washington,Furniture,Desks,12,5686.8,0.2,4549.44,41.14,-922.23
ORD-1009,2022-11-21,2022-11-26,Home Office,South,Texas,Furniture,Chairs,3,1910.35,0.05,1814.83,46.93,167.4
ORD-1010,2022-12-22,2022-12-29,Home Office,West,Oregon,Furniture,Storage,12,1259.08,0.1,1133.17,51.48,-26.78
ORD-1011,2024-07-24,2024-07-26,Consumer,East,Pennsylvania,Furniture,Tables,5,3889.66,0.35,2528.28,44.33,-1403.85
ORD-1012,2022-03-18,2022-03-23,Home Office,East,Pennsylvania,Office Supplies,Labels,13,9608.44,0.0,9608.44,6.72,2880.52
ORD-1013,2024-01-03,2024-01-09,Consumer,North,Wisconsin,Furniture,Bookcases,2,1179.09,0.2,943.27,31.43,-132.05
ORD-1014,2024-03-28,2024-04-04,Consumer,South,Louisiana,Office Supplies,Envelopes,10,3471.63,0.0,3471.63,8.1,691.9
ORD-1015,2024-07-15,2024-07-21,Home Office,South,Georgia,Furniture,Tables,2,419.21,0.3,293.45,39.34,-152.66
ORD-1016,2024-02-02,2024-02-04,Consumer,Central,Ohio,Office Supplies,Paper,4,271.64,0.0,271.64,7.81,13.96
ORD-1017,2024-08-19,2024-08-22,Consumer,Central,Indiana,Furniture,Tables,10,3860.47,0.45,2123.26,53.14,-1480.99
ORD-1018,2023-07-28,2023-07-30,Consumer,North,Michigan,Office Supplies,Envelopes,12,690.29,0.15,586.75,8.33,-8.37
ORD-1019,2022-04-18,2022-04-21,Corporate,North,Minnesota,Office Supplies,Pens & Art,8,1000.34,0.0,1000.34,5.37,278.48
ORD-1020,2024-10-27,2024-10-30,Corporate,North,Minnesota,Office Supplies,Binders,1,775.66,0.2,620.53,7.76,-20.94
ORD-1021,2022-12-13,2022-12-18,Corporate,West,Arizona,Furniture,Desks,1,788.47,0.4,473.08,56.64,-244.07
ORD-1022,2023-03-07,2023-03-11,Corporate,East,Massachusetts,Office Supplies,Labels,1,469.66,0.1,422.69,4.46,66.29
ORD-1023,2024-12-06,2024-12-08,Consumer,North,Illinois,Office Supplies,Envelopes,1,769.21,0.0,769.21,7.78,151.51
ORD-1024,2024-02-08,2024-02-15,Consumer,Central,Kansas,Office Supplies,Paper,10,4816.98,0.1,4335.28,4.54,-348.18
ORD-1025,2024-03-11,2024-03-15,Home Office,Central,Missouri,Office Supplies,Pens & Art,4,894.03,0.0,894.03,7.02,248.22
ORD-1026,2024-09-04,2024-09-08,Corporate,West,Arizona,Technology,Laptops,2,874.09,0.1,786.68,15.94,-20.52
ORD-1027,2024-07-23,2024-07-25,home office,North,Wisconsin,Furniture,Bookcases,5,2475.84,0.2,1980.67,48.63,-272.08
ORD-1028,2022-04-24,2022-05-01,Corporate,Central,Indiana,Office Supplies,Binders,9,1233.24,0.0,1233.24,6.74,306.29
ORD-1029,2022-08-03,2022-08-07,Consumer,East,Connecticut,Office Supplies,Pens & Art,11,3822.58,0.0,3822.58,4.39,1069.01
ORD-1030,2023-08-18,2023-08-22,Home Office,South,Alabama,Furniture,Desks,1,102.82,0.35,66.83,45.44,-41.03
ORD-1031,2023-01-26,2023-01-29,Home Office,Central,Indiana,Technology,Monitors,14,648.44,0.0,648.44,15.25,60.27
ORD-1032,2022-11-28,2022-12-03,Corporate,North,Illinois,Office Supplies,Envelopes,3,2343.97,0.2,1875.18,4.94,-151.5
ORD-1033,2024-11-26,2024-12-01,Consumer,North,North Dakota,Office Supplies,Pens & Art,4,897.77,0.2,718.22,7.15,-2.14
ORD-1034,2022-05-08,2022-05-10,Corporate,North,North Dakota,Technology,Phones,1,533.13,0.05,506.47,16.74,5.11
ORD-1035,2024-10-11,2024-10-15,Corporate,East,Massachusetts,Office Supplies,Labels,1,105.54,0.0,105.54,4.95,30.18
ORD-1036,2023-10-14,2023-10-20,Consumer,North,Michigan,Office Supplies,Envelopes,10,7876.25,0.0,7876.25,5.82,1573.5
ORD-1037,2024-08-22,2024-08-26,Corporate,South,Texas,Technology,Monitors,12,9037.28,0.15,7681.69,21.05,-851.3
ORD-1038,2022-05-24,2022-05-28,Consumer,West,Nevada,Office Supplies,Pens & Art,15,3761.29,0.0,3761.29,7.0,1051.06
ORD-1039,2024-03-13,2024-03-17,Home Office,West,Washington,Furniture,Storage,11,6625.14,0.0,6625.14,47.5,847.02
ORD-1040,2024-03-20,2024-03-23,Home Office,West,Oregon,Technology,Accessories,11,2947.62,0.05,2800.24,18.17,414.58
ORD-1041,2024-05-21,2024-05-24,Corporate,Central,Ohio,Office Supplies,Paper,10,2781.23,0.2,2224.98,8.2,-491.96
ORD-1042,2023-01-20,2023-01-27,Consumer,East,New York,Technology,Phones,14,8655.7,0.05,8222.92,17.82,159.11
ORD-1043,2022-06-21,2022-06-23,Consumer,Central,Kansas,Office Supplies,Envelopes,12,232.23,0.2,185.78,7.81,-17.21
ORD-1044,2022-01-28,2022-02-03,Consumer,West,Arizona,Technology,Printers,2,746.65,0.45,410.66,21.01,-281.45
ORD-1045,2024-07-15,2024-07-19,Corporate,Central,Colorado,Furniture,Storage,15,2099.08,0.2,1679.26,43.36,-264.9
ORD-1046,2023-09-15,2023-09-19,Home Office,South,Alabama,Furniture,Storage,2,1150.27,0.0,1150.27,37.39,138.32
ORD-1047,2022-06-23,2022-06-28,Consumer,Central,Indiana,Technology,Phones,4,261.68,0.05,248.6,16.77,-0.06
ORD-1048,2024-12-23,2024-12-28,Consumer,West,Arizona,Technology,Monitors,1,687.53,0.2,550.02,19.85,-104.96
ORD-1049,2024-08-18,2024-08-22,Corporate,North,North Dakota,Furniture,Tables,13,6351.19,0.35,4128.27,43.75,-2283.67
ORD-1050,2023-10-24,2023-10-30,Corporate,West,Oregon,Technology,Monitors,3,2024.39,0.0,2024.39,24.96,194.95
ORD-1051,2023-02-05,2023-02-09,Corporate,North,Minnesota,Office Supplies,Labels,14,5284.07,0.0,5284.07,5.29,1583.63
ORD-1052,2023-04-09,2023-04-11,Corporate,South,Alabama,Furniture,Bookcases,14,1110.15,0.0,1110.15,51.42,151.1
ORD-1053,2022-11-07,2022-11-12,Consumer,East,New York,Office Supplies,Binders,14,433.98,0.0,433.98,5.2,106.94
ORD-1054,2022-11-20,2022-11-23,Home Office,North,Michigan,Technology,Monitors,10,7715.32,0.15,6558.02,14.04,-725.59
ORD-1055,2023-09-13,2023-09-20,Consumer,East,New Jersey,Office Supplies,Binders,12,2048.27,0.1,1843.44,7.1,200.65
ORD-1056,2024-11-26,2024-11-28,Consumer,South,Louisiana,Office Supplies,Pens & Art,1,287.55,0.05,273.17,6.98,55.27
ORD-1057,2022-11-14,2022-11-17,Home Office,Central,Kansas,Furniture,Chairs,6,3083.61,0.2,2466.89,42.92,-284.23
ORD-1058,2024-09-25,2024-09-29,Consumer,West,Oregon,Office Supplies,Labels,8,3039.41,0.2,2431.53,7.27,46.45
ORD-1059,2023-04-19,2023-04-23,Consumer,East,Massachusetts,Technology,Accessories,10,5395.28,0.0,5395.28,12.96,1183.07
ORD-1060,2024-05-23,2024-05-26,Corporate,South,Georgia,Technology,Accessories,15,3478.06,0.0,3478.06,19.11,759.44
ORD-1061,2022-09-23,2022-09-25,Consumer,North,North Dakota,Office Supplies,Envelopes,8,4176.27,0.05,3967.46,6.08,513.95
ORD-1062,2024-05-12,2024-05-19,Corporate,North,Wisconsin,Technology,Monitors,8,3595.81,0.0,3595.81,17.96,354.19
ORD-1063,2022-05-04,2022-05-11,Corporate,Central,Missouri,Furniture,Tables,12,1994.14,0.3,1395.9,51.24,-685.4
ORD-1064,2024-10-20,2024-10-23,Consumer,South,Georgia,Technology,Monitors,5,3923.5,0.2,3138.8,15.05,-569.5
ORD-1065,2022-02-02,2022-02-07,Consumer,East,Connecticut,Furniture,Chairs,9,2198.95,0.0,2198.95,48.15,359.38
ORD-1066,2023-07-06,2023-07-08,Consumer,North,North Dakota,Office Supplies,Pens & Art,1,213.2,0.2,170.56,6.21,-1.86
ORD-1067,2024-03-10,2024-03-15,Corporate,West,California,Technology,Printers,2,1590.45,0.3,1113.32,19.63,-518.02
ORD-1068,2023-06-10,2023-06-16,Home Office,Central,Colorado,Office Supplies,Paper,14,6677.89,0.05,6344.0,5.48,-65.08
ORD-1069,2023-09-22,2023-09-25,Home Office,North,Wisconsin,Office Supplies,Binders,2,276.58,0.0,276.58,6.52,67.19
ORD-1070,2022-05-10,2022-05-17,Corporate,North,North Dakota,Furniture,Storage,12,2843.21,0.2,2274.57,42.75,-354.01
ORD-1071,2024-07-08,2024-07-10,Corporate,South,Florida,Office Supplies,Labels,11,1451.52,0.0,1451.52,7.67,433.15
ORD-1072,2023-12-04,2023-12-08,Consumer,North,Illinois,Furniture,Storage,-8,4444.9,0.15,3778.16,41.23,-314.62
ORD-1073,2023-09-24,2023-10-01,Home Office,Central,Ohio,Furniture,Tables,6,2933.49,0.3,2053.44,32.09,-995.28
ORD-1074,2022-01-16,2022-01-22,Home Office,Central,Colorado,Technology,Accessories,9,4737.91,0.0,4737.91,14.89,1037.87
ORD-1075,2023-05-11,2023-05-18,Home Office,West,Arizona,Furniture,Chairs,11,1068.22,0.0,1068.22,39.1,169.87
ORD-1076,2022-01-11,2022-01-17,Corporate,West,Nevada,Office Supplies,Envelopes,5,1343.85,0.2,1075.08,5.9,-87.78
ORD-1077,2024-01-12,2024-01-14,Home Office,North,North Dakota,Office Supplies,Envelopes,10,6088.08,0.15,5174.87,6.06,-53.57
ORD-1078,2024-07-16,2024-07-19,Corporate,South,Georgia,Office Supplies,Paper,2,75.33,0.15,64.03,6.76,-11.63
ORD-1079,2022-06-27,2022-06-30,Corporate,South,Louisiana,Office Supplies,Binders,15,1561.0,0.0,1561.0,6.92,388.17
ORD-1080,2023-06-16,2023-06-22,Home Office,West,Oregon,Furniture,Storage,4,1494.31,0.0,1494.31,40.68,182.06
ORD-1081,2023-11-11,2023-11-15,Home Office,Central,Missouri,Technology,Laptops,15,9500.37,0.0,9500.37,22.94,1133.16
ORD-1082,2023-07-12,2023-07-16,Home Office,East,Pennsylvania,Office Supplies,Envelopes,6,2689.53,0.1,2420.58,5.78,143.5
ORD-1083,2023-04-02,2023-04-09,Home Office,South,Alabama,Technology,Printers,6,3597.56,0.45,1978.66,17.46,-1330.94
ORD-1084,2023-12-28,2024-01-02,Corporate,South,Louisiana,Technology,Phones,2,1402.48,0.05,1332.36,13.86,22.49
ORD-1085,2023-02-11,2023-02-15,consumer,North,Wisconsin,Technology,Monitors,10,5587.73,0.15,4749.57,13.61,-526.54
ORD-1086,2022-01-08,2022-01-15,Corporate,Central,Colorado,Furniture,Tables,11,6074.79,0.4,3644.87,58.72,-2277.44
ORD-1087,2023-03-01,2023-03-05,Corporate,North,North Dakota,Technology,Laptops,1,269.63,0.0,269.63,16.3,27.47
ORD-1088,2022-09-06,2022-09-09,Consumer,West,Arizona,Technology,Printers,3,230.97,0.45,127.03,20.41,-91.23
ORD-1089,2023-09-09,2023-09-13,Home Office,West,Arizona,Technology,Phones,11,246.15,0.2,196.92,18.46,-42.95
ORD-1090,2023-12-21,2023-12-24,Consumer,Central,Missouri,Technology,Monitors,7,3898.27,0.05,3703.36,23.25,104.13
ORD-1091,2024-09-10,2024-09-14,Corporate,West,Arizona,Technology,Phones,12,2961.07,0.2,2368.86,20.89,-456.35
ORD-1092,2023-11-25,2023-12-02,Home Office,North,Illinois,Office Supplies,Binders,13,2543.36,0.2,2034.69,5.68,-62.74
ORD-1093,2024-12-02,2024-12-09,Home Office,South,Texas,Furniture,Desks,5,3170.3,0.3,2219.21,46.44,-768.46
ORD-1094,2022-03-26,2022-03-30,Consumer,South,Alabama,Furniture,Bookcases,9,6327.19,0.0,6327.19,45.01,935.58
ORD-1095,2023-11-03,2023-11-10,Corporate,South,Georgia,Furniture,Bookcases,3,1821.03,0.0,1821.03,54.69,256.75
ORD-1096,2024-01-04,2024-01-10,Home Office,West,Arizona,Furniture,Chairs,8,2434.72,0.15,2069.51,49.17,-97.53
ORD-1097,2024-07-18,2024-07-25,Home Office,West,Washington,Furniture,Chairs,6,4400.86,0.0,4400.86,48.44,733.61
ORD-1098,2022-03-10,2022-03-13,Home Office,West,California,Furniture,Tables,8,849.24,0.35,552.01,55.49,-320.25
ORD-1099,2024-09-05,2024-09-11,Corporate,West,Arizona,Furniture,Storage,15,5110.27,0.0,5110.27,53.91,648.16
ORD-1100,2022-07-28,2022-08-04,Corporate,West,Washington,Technology,Accessories,6,557.96,0.15,474.27,17.23,-0.43
ORD-1101,2023-12-03,2023-12-05,Consumer,East,Pennsylvania,Furniture,Bookcases,11,1996.53,0.15,1697.05,46.96,-115.91
ORD-1102,2024-03-07,2024-03-10,Corporate,North,Illinois,Technology,Phones,10,1845.22,0.2,1476.18,15.54,-285.14
ORD-1103,2022-08-04,2022-08-07,Consumer,Central,Indiana,Furniture,Desks,11,7646.78,0.35,4970.41,29.84,-2046.82
ORD-1104,2024-01-14,2024-01-18,Corporate,Central,Missouri,Technology,Phones,9,937.93,0.0,937.93,18.6,78.83
ORD-1105,2024-04-02,2024-04-06,Home Office,Central,Colorado,Technology,Monitors,12,7558.0,0.2,6046.4,20.9,-1094.62
ORD-1106,2023-11-22,2023-11-24,Home Office,West,Arizona,Technology,Laptops,2,799.72,0.05,759.73,13.53,33.93
ORD-1107,2024-04-19,2024-04-25,Home Office,East,Pennsylvania,Technology,Laptops,9,5166.36,0.05,4908.04,25.13,237.86
ORD-1108,2024-02-04,2024-02-07,Corporate,East,Massachusetts,Office Supplies,Labels,14,7405.3,0.2,5924.24,6.52,116.53
ORD-1109,2023-11-14,2023-11-18,Corporate,West,Oregon,Technology,Monitors,12,1075.71,0.05,1021.92,16.54,25.7
ORD-1110,2022-02-03,2022-02-06,Consumer,East,New York,Office Supplies,Envelopes,7,635.62,0.15,540.28,5.77,-7.13
ORD-1111,2022-05-14,2022-05-21,Consumer,Central,Colorado,Office Supplies,Labels,6,4204.69,0.2,3363.75,5.98,65.48
ORD-1112,2024-02-07,2024-02-11,Corporate,North,Michigan,Office Supplies,Pens & Art,3,1591.61,0.0,1591.61,7.76,443.32
ORD-1113,2023-04-28,2023-05-05,Corporate,Central,Colorado,Technology,Accessories,9,7020.17,0.2,5616.14,20.43,-343.1
ORD-1114,2024-03-25,2024-03-28,Consumer,Central,Ohio,Office Supplies,Pens & Art,5,3692.03,0.0,3692.03,4.23,1032.5
ORD-1115,2022-10-03,2022-10-07,Home Office,Central,Indiana,Furniture,Chairs,12,5177.15,0.05,4918.29,41.74,479.31
ORD-1116,2022-09-05,2022-09-09,Corporate,South,Louisiana,Furniture,Bookcases,3,1821.7,0.0,1821.7,49.21,258.49
ORD-1117,2023-07-07,2023-07-11,Home Office,West,Nevada,Furniture,Tables,13,5423.49,0.4,3254.09,42.04,-2030.15
ORD-1118,2024-04-02,2024-04-06,Corporate,Central,Ohio,Office Supplies,Pens & Art,1,175.47,0.0,175.47,7.42,46.91
ORD-1119,2022-11-05,2022-11-12,Corporate,East,Massachusetts,Technology,Laptops,7,3031.54,0.0,3031.54,18.9,358.11
ORD-1120,2022-01-28,2022-02-04,Consumer,East,Massachusetts,Furniture,Chairs,6,2801.83,0.1,2521.65,41.29,63.26
ORD-1121,2022-12-26,2022-12-28,Corporate,West,California,Technology,Monitors,10,3761.76,0.15,3197.5,24.19,-358.98
ORD-1122,2022-06-13,2022-06-16,Consumer,West,Nevada,Technology,Monitors,14,3619.92,0.0,3619.92,15.39,357.38
ORD-1123,2023-08-12,2023-08-15,Home Office,North,Illinois,Office Supplies,Binders,12,9206.46,0.15,7825.49,7.62,310.73
ORD-1124,2024-09-03,2024-09-09,Consumer,North,Wisconsin,Furniture,Desks,3,2285.29,0.45,1256.91,43.04,-704.21
ORD-1125,2024-05-11,2024-05-15,Corporate,Central,Colorado,Office Supplies,Labels,3,1080.64,0.05,1026.61,6.06,234.3
ORD-1126,2023-02-15,2023-02-22,Home Office,East,Connecticut,Technology,Accessories,1,59.66,0.2,47.73,16.22,-7.73
ORD-1127,2024-07-26,2024-08-01,Home Office,North,North Dakota,Office Supplies,Labels,12,8619.16,0.05,8188.2,8.02,1880.88
ORD-1128,2022-03-15,2022-03-22,Corporate,South,Louisiana,Office Supplies,Envelopes,2,1303.22,0.2,1042.58,5.64,-85.1
ORD-1129,2023-04-15,2023-04-19,Home Office,North,Minnesota,Office Supplies,Paper,9,3828.21,0.0,3828.21,5.73,227.97
ORD-1130,2024-11-11,2024-11-15,Corporate,West,California,Furniture,Storage,2,547.61,0.1,492.85,49.34,-19.73
ORD-1131,2024-05-22,2024-05-29,Home Office,East,Pennsylvania,Office Supplies,Labels,3,2203.94,0.0,2203.94,8.26,658.7
ORD-1132,2024-09-26,2024-10-03,Consumer,West,Oregon,Office Supplies,Binders,6,3920.1,0.15,3332.09,7.15,131.14
